,SummonerID,Summoner_Name,Wins,Losses,League_Points,Account_ID
208,Hj0m06Pk8ZiqhJkTv6G838cJ2soLA8gJEwVpDuxYglqKVaI,Harambe,157,144,58,II6KH-XyCK3CLd3qLYVXaIUPM_xdQOc_xGeFa1DjEp6OCu0
209,HkxLkhAgtg7eMAIz3aRtDE4Jl8cTBGoLcI0ILWWbKGlsmfo,2002 03 26,145,122,15,X0D8VFPU45KYZ5c8dKWlcsXr8oS0RQqitsLryII0gMb-tMk
210,HnU9obeBPL8M8aji-upxpz7F9gIB9VOCGgT1BTLvo0HdmII,s7 mid lane,118,86,79,O3HBOhr2XvRJr8Z40kWNam48_jnMIfH4l5k1SWdcNevqq88
211,HnrH-K7PcUmuzyWfGrDIrDgPQ57fO6uby3Mtua-F9h8tgbs,Ragrhok,241,182,49,FZLz_3VlzUUZ5mSVchGOtmtcWcyj5B5XBAchFOD3AHsBXgFLPvb0CpMd
212,Hq4NIk8QBhE5NRgkZt6Q0NhVypg2Qe-KPWxLrqpO9_o0UlU,Scrivetown,139,122,58,3gFep2p5WY5KPyrTcAV4vi9LMOFY0_KjFDd-oZWWcVKEB7o
213,HvQ1E967JuFivMrcL44o6PS_2tM-IRrUM7Qnj1x-TDH5Dd0,CuIt,176,156,48,DKguE8d8B3q3BW6jLHJU39s6zThq3JPjrbA2qWYhYWJcwQ
214,HyvFrmaqGNy29qUbzDXYNU75xZCT2md9xNNSN162xz1ICJo,SHERNICE,35,14,103,9C950sC2Y4SZTOS08QrHzQB94OI1RdgQ_l2cQBsP5VlGpLQ
215,I2vuytTlsk3kFkRRsy3wq9C-aRpe85uomGK4BWXTF168wzE,Camp Out,51,29,107,IyeHPIWuQPuwgoz2C3yftM6sX-K3j6Dj3BuHYDYypWlKaxc
216,I5aDIrgO_LjD2NLqU8CTwHG010PlPaKI3ZfotfswpmN1sVk,Todamax,116,102,67,cxt7t3iK0ye26XulkOR5oxNULJkMNbnl7Z7AyU-j5eGc958
217,I8y5J7kdMoW-968EyvBr_b7bvuBvOa7l4bMt4yjLSp3b5BI,Heímerdiñger,149,126,106,UtnZ6wq1-EB87olAGhBEC8CjgMQk4uZyIzI-lr6NLkj6Ce0
218,IDcazYOIxhcHMcSo1IyVkJ7UOM_HZPzpBlhDb3dEB7y2lbo,5up,220,211,31,kt501daR10np6pNc7pFfrgz-YLbBZV1gsCk0XOnvxwwiAbI
219,IMsMyfXUbIKe4HFIDd-bsq90E6YyYsjaJ6SbHdPnkBThZ0c,Sepeku,220,202,67,vWM-pDZmpPRO8MbmGMK2a0jWpRUOe9c9FBqpKAhIlK3Lx7s
220,IV0Fn4v0qxWNjQSJeGJrk2S0X6N840y2hEdvn85GqJ0zQMw,Bubble Peach,70,49,17,0w9AvVVHgXbS4_x40ULFxqSyXDEKlJOxTx9A5IENMO_kZQ
221,IaTDrt8FBZpZwDyU3BGJjNMlvSFUKKziHjJS3PeP3xsuKHo,disposable,132,107,113,YazA052vVHynpyHNBypUh_NZ6y7fmJC0_Us-Y1rBHodn9w
222,IffBZjmqlZsbbdYO9chlHxbFzbAAUHTon81rr-FICtI651g,Rezzi,86,63,32,M2uu2frSzhUyhPuZhRdcidOq2PHEho7Rr0C9pRuPhFrcmRs
223,Iq6FRYC6egUanjnxKIHd-XUrUmBcwABkqioG2ZedBr-V0PQ,67 shochi,145,127,44,1qnL-PrhacuxA7vt1S74cHE6eBl9i1oxmyhEuxwI-L9rqg
224,Isc2kS0W30YhJSBPx2JUnWVOzBoU_Hiy9xYjAJzs6jPjRO8,V1per1,197,182,107,U1n_slFTRk65ZV61tgh_Y5e03ncFDUIYEhHdZv5rDlYFloU
225,J-_50U9lxgD2utwKbkOOxuTLqfeWRZokT1estvgSSw,Desølate,88,70,22,vFK8iINpJ9qxzJ3ZY8hNI8WmkAhQlNUbDPvya58wZSekMwU
226,J2GSAYH3puNDtDCRBZmbgZqpWYMV2y9V-1TtR04EkOkzSDY,DerpyBunzz,169,159,4,fk-E7kqN2UIqmhMoAJMwWGfz8cYRI2BIaqX0Q-kJlC7zFO0
227,JHwFyxL7zYTNYOdlbTqxHvIwA96KxjyMHgSJjVZej_E-0QZj,XcOuNtEr sTr1kE,164,155,14,rWQmkVDU9FvxO_TIPnyFi_RF5caQzDplzUWAha_FN263VA
228,JJmDmOSAciOagCn6uF-fKtI8VTBJ_-BOOfeEQ_s2wCLPzGw,HaruSnow,211,186,11,QaRDoKLp6EeSTTXc_8Ni3qBTzTJio3Ky53KfPsUCGZYv2LwJ92BZ96eJ
229,JKsqHdnYjVcalUM9yj1d1EGo47oIqWoe3ReNT2sMoRrZujQ,TheR1senDead,59,38,25,P_VQevspkGcxi-NPJdCV35JLh9Aq0z8dg1HCmV0jec6z5jc
230,JNPw4nxousEmUtP1eLZI-UM1xinkSWV7HybTGpVvCKhuma8,Larsimus,131,119,0,_wZc4iZBIzoNabVgDig-tnpAtetHzXlnCSGHfZoHF_wRN2E
231,JOUEE6G0Nq86x9dhwRHSFD9gHrcJ9RX3V0gjPfIG6v4k5Ac,CroatianD,92,69,97,e_wTC51vaFYqfqDbajMIoL9YCO4786JgoSHdOjeXaA4wAvE
232,JQmj722oll3Nwa3RVdx9PnqmqaDYKZuEdnO29T6w6ZJF8kA,Mi Goi,146,125,21,aJwHHlJNOSTs4yB7BeFL7Mam2C_8qATnKPxi9FXBzWNtpTI
233,JkOqQFRuzYjVeaIpiR1mZtORss5MjMS-Dbzm2KpYAEMUc5I,DreadXeon,207,184,182,5UWVvJBY2wM2vflTShcQfx7hEgLBOKvBOIM_yX6P5X9CTJ8
234,JxOGWudjgBEXbdTtzenWdfygGnV2sHAeQncGp5UJAIQtz68,C9 Diamond,56,34,146,OdgFiq-r5h0WpfEIBVuO0RFR0udqVM2hPWJcCKEXlUcCww
235,K34UQMbKuSF62msj_7PVPE-5uNabdyzXgb-OZDP--6ubb9M,miaolegeB,102,63,112,0n8khIAjwNR4xKyfLfcnZz4VQh320GD1iSalUn0Mg6Ck5iM
