,Lane,GameID,Champion
1454,MID,3015679871,157
1455,JUNGLE,3015166347,80
1456,JUNGLE,3015005508,30
1457,JUNGLE,3014990026,421
1458,JUNGLE,3014199711,30
1459,JUNGLE,3014206377,59
1460,MID,3011113724,142
1461,BOTTOM,3011094653,498
1462,NONE,3011024665,236
1463,BOTTOM,3011016004,81
1464,BOTTOM,3010968033,110
1465,MID,3015955286,126
1466,MID,3015937622,7
1467,MID,3015621564,39
1468,MID,3015568851,13
1469,NONE,3015571461,13
1470,TOP,3013492029,80
1471,TOP,3013420796,80
1472,NONE,3013395389,80
1473,NONE,3013392762,80
1474,TOP,3013278307,10
1475,BOTTOM,3011325655,236
1476,MID,3011317141,127
1477,BOTTOM,3011290929,18
1478,TOP,3011271904,13
1479,BOTTOM,3011242017,236
1480,MID,3014884940,126
1481,MID,3014783893,115
1482,TOP,3014623752,14
1483,MID,3014030216,236
1484,MID,3013949047,115
1485,MID,3014661375,81
1486,TOP,3014601474,99
1487,BOTTOM,3014441295,267
1488,BOTTOM,3014410199,3
1489,MID,3014383519,267
1490,MID,3015632742,236
1491,MID,3015580336,59
1492,BOTTOM,3015550865,37
1493,NONE,3015541828,119
1494,NONE,3015435932,236
1495,NONE,3015633214,107
1496,BOTTOM,3015594265,85
1497,BOTTOM,3015572113,107
1498,BOTTOM,3014049727,107
1499,NONE,3014045224,107
1500,BOTTOM,3013920336,98
1501,BOTTOM,3013827968,98
1502,BOTTOM,3013786978,89
1503,BOTTOM,3012616178,44
1504,BOTTOM,3012573496,161
1505,MID,3015144516,157
1506,MID,3015150130,238
1507,NONE,3015127618,63
1508,MID,3015105278,85
1509,MID,3015122622,157
1510,JUNGLE,3015684681,121
1511,JUNGLE,3015656178,35
1512,BOTTOM,3015529246,53
1513,TOP,3012150900,59
1514,JUNGLE,3012120692,121
1515,MID,3015856159,238
1516,NONE,3015687029,245
1517,BOTTOM,3015646628,63
1518,MID,3015632587,238
1519,MID,3015603522,55
1520,NONE,3015386430,121
1521,BOTTOM,3015380437,236
1522,JUNGLE,3015197695,121
1523,JUNGLE,3015212241,121
1524,JUNGLE,3015186464,121
1525,JUNGLE,3015986182,59
1526,JUNGLE,3015556476,60
1527,JUNGLE,3015522987,120
1528,JUNGLE,3015495068,203
1529,JUNGLE,3015329157,120
1530,TOP,3015959633,92
1531,NONE,3015939968,39
1532,TOP,3015933397,24
1533,TOP,3015042483,85
1534,TOP,3015015507,84
1535,BOTTOM,3014373412,432
1536,BOTTOM,3014357085,412
1537,BOTTOM,3013905556,432
1538,JUNGLE,3009380720,427
1539,JUNGLE,3009159594,427
1540,BOTTOM,3015887861,36
1541,NONE,3015892876,240
1542,NONE,3015690667,240
1543,NONE,3015664678,53
1544,NONE,3015618702,101
1545,BOTTOM,3015238324,518
1546,MID,3015219670,518
1547,NONE,3015194901,67
1548,BOTTOM,3015179669,518
1549,NONE,3015177712,67
1550,MID,3015097552,7
1551,TOP,3014647342,36
1552,JUNGLE,3014639889,427
1553,NONE,3013990249,7
1554,MID,3013928562,7
1555,MID,3013527709,268
1556,TOP,3013501248,126
1557,MID,3013474308,268
1558,MID,3013445960,268
1559,NONE,3013419604,39
1560,JUNGLE,3009897498,203
1561,BOTTOM,3009891402,236
1562,JUNGLE,3009873149,30
1563,BOTTOM,3009836509,81
1564,JUNGLE,3009796897,30
1565,BOTTOM,3013573771,67
1566,BOTTOM,3013561521,145
1567,BOTTOM,3013557664,145
1568,BOTTOM,3012318604,236
1569,BOTTOM,3012316554,67
1570,BOTTOM,3015843631,37
1571,BOTTOM,3015819536,37
1572,BOTTOM,3015638727,267
1573,BOTTOM,3015595240,37
1574,BOTTOM,3015505555,37
1575,JUNGLE,3015854605,145
1576,BOTTOM,3015848000,236
1577,TOP,3015697067,42
1578,MID,3015679871,145
1579,BOTTOM,3015641445,81
1580,JUNGLE,3015972535,20
1581,BOTTOM,3015386669,145
1582,BOTTOM,3014405770,145
1583,TOP,3014067724,61
1584,NONE,3014062856,96
1585,TOP,3015915691,92
1586,TOP,3015909165,126
1587,MID,3015892546,238
1588,JUNGLE,3015601872,60
1589,JUNGLE,3015549113,64
1590,MID,3010618839,517
1591,NONE,3009981735,99
1592,NONE,3009923393,84
1593,MID,3009316703,7
1594,NONE,3009312310,61
1595,NONE,3010034095,134
1596,MID,3008211107,134
1597,MID,3007189439,134
1598,MID,3007106717,134
1599,TOP,3007123970,10
1600,MID,3015782564,1
1601,MID,3014117961,1
1602,BOTTOM,3013610115,40
1603,BOTTOM,3013588912,51
1604,MID,3013578381,117
1605,NONE,3015976417,412
1606,MID,3015946593,412
1607,MID,3015938209,26
1608,BOTTOM,3015904880,267
1609,BOTTOM,3015855518,555
1610,NONE,3015982639,518
1611,NONE,3015946561,518
1612,NONE,3015362469,141
1613,NONE,3015337702,119
1614,BOTTOM,3014227953,145
1615,BOTTOM,3014587382,43
1616,BOTTOM,3013797635,25
1617,MID,3013498766,61
1618,BOTTOM,3013278307,412
1619,BOTTOM,3012636213,412
1620,TOP,3014367273,420
1621,TOP,3012313521,420
1622,JUNGLE,3011778490,61
1623,TOP,3011448548,420
1624,TOP,3011417404,420
1625,MID,3015604237,33
1626,NONE,3015554619,38
1627,NONE,3015537979,154
1628,NONE,3015442568,39
1629,TOP,3015386528,41
1630,TOP,3014192577,142
1631,BOTTOM,3013979562,18
1632,BOTTOM,3013938910,236
1633,BOTTOM,3013902827,81
1634,BOTTOM,3013864994,498
1635,BOTTOM,3015858296,67
1636,BOTTOM,3015870947,67
1637,BOTTOM,3015826609,236
1638,BOTTOM,3015820919,81
1639,BOTTOM,3015384540,67
1640,NONE,3015990905,31
1641,TOP,3015919574,150
1642,TOP,3015911245,10
1643,TOP,3015894112,10
1644,NONE,3015879694,31
1645,BOTTOM,3015026676,267
1646,BOTTOM,3015005508,67
1647,BOTTOM,3014884940,145
1648,BOTTOM,3014765123,267
1649,MID,3014564219,127
1650,BOTTOM,3014544952,89
1651,TOP,3014141950,36
1652,TOP,3013881810,150
1653,NONE,3013412747,103
1654,MID,3013308554,103
1655,JUNGLE,3015368477,120
1656,JUNGLE,3015312141,36
1657,TOP,3015276664,126
1658,JUNGLE,3015250687,120
1659,JUNGLE,3015016142,64
1660,JUNGLE,3011344373,266
1661,BOTTOM,3011297609,497
1662,BOTTOM,3011279600,12
1663,JUNGLE,3011261328,266
1664,NONE,3011233602,13
1665,MID,3015848299,11
1666,NONE,3015835818,79
1667,NONE,3015822987,102
1668,NONE,3015820471,41
1669,JUNGLE,3015494440,79
1670,TOP,3015997718,10
1671,MID,3015969035,8
1672,MID,3015793209,134
1673,MID,3015799758,38
1674,NONE,3015768606,38
1675,TOP,3015904880,85
1676,JUNGLE,3015515391,107
1677,JUNGLE,3015475338,107
1678,JUNGLE,3015454094,56
1679,JUNGLE,3015427072,79
1680,NONE,3015583437,15
1681,BOTTOM,3015554754,143
1682,NONE,3015524308,117
1683,BOTTOM,3015504812,117
1684,BOTTOM,3015475387,117
1685,TOP,3015997966,24
1686,TOP,3015956934,24
1687,NONE,3015939916,6
1688,TOP,3015909882,24
1689,TOP,3015893196,6
1690,TOP,3015994520,6
1691,BOTTOM,3015965539,12
1692,BOTTOM,3015424618,412
1693,BOTTOM,3015349623,81
1694,BOTTOM,3015362438,236
1695,TOP,3015992914,238
1696,NONE,3015939916,238
1697,MID,3015910171,238
1698,NONE,3015894586,81
1699,MID,3015859443,238
1700,BOTTOM,3015742626,33
1701,NONE,3015731264,50
1702,NONE,3015084110,14
1703,NONE,3015073577,106
1704,JUNGLE,3015080723,3
1705,BOTTOM,3015683235,145
1706,TOP,3015664580,38
1707,JUNGLE,3015635559,18
1708,BOTTOM,3015596317,18
1709,JUNGLE,3015478619,67
1710,NONE,3015547277,518
1711,NONE,3015246915,518
1712,TOP,3013715559,518
1713,NONE,3013621093,518
1714,TOP,3012452797,518
1715,MID,3015629876,4
1716,MID,3015547973,4
1717,MID,3015498045,4
1718,MID,3015489279,4
1719,BOTTOM,3015438451,16
1720,NONE,3015977088,84
1721,BOTTOM,3015956503,518
1722,NONE,3015941769,163
1723,BOTTOM,3015671275,22
1724,BOTTOM,3015622500,518
1725,MID,3015959089,55
1726,BOTTOM,3015924199,81
1727,TOP,3015288122,55
1728,MID,3015280608,84
1729,JUNGLE,3010914444,84
1730,NONE,3014361558,421
1731,JUNGLE,3014323752,59
1732,TOP,3014297046,59
1733,JUNGLE,3014249516,421
1734,JUNGLE,3011284228,421
1735,MID,3014519193,119
1736,MID,3014469455,238
1737,NONE,3014473213,119
1738,NONE,3014457679,82
1739,NONE,3014160617,122
1740,JUNGLE,3015976024,92
1741,JUNGLE,3015965913,92
1742,NONE,3015736564,127
1743,MID,3015753681,62
1744,NONE,3015730542,20
1745,NONE,3015636585,101
1746,TOP,3015587265,517
1747,BOTTOM,3015555260,145
1748,TOP,3015534204,84
1749,MID,3014228410,42
1750,JUNGLE,3015865190,27
1751,NONE,3014277020,27
1752,MID,3014261539,61
1753,MID,3014246096,4
1754,TOP,3014221968,27
1755,BOTTOM,3015994520,53
1756,NONE,3015969292,53
1757,MID,3015953639,53
1758,BOTTOM,3015937622,432
1759,BOTTOM,3015634829,53
1760,MID,3015997966,26
1761,MID,3015970229,42
1762,BOTTOM,3014105707,161
1763,MID,3014101729,26
1764,MID,3014085639,161
1765,BOTTOM,3015953639,63
1766,BOTTOM,3015917100,81
1767,NONE,3015645139,24
1768,JUNGLE,3015634744,59
1769,NONE,3015597631,236
1770,JUNGLE,3013640083,421
1771,TOP,3013616832,16
1772,JUNGLE,3013267557,76
1773,JUNGLE,3013238212,76
1774,JUNGLE,3013242689,76
1775,BOTTOM,3015667089,498
1776,TOP,3015634829,8
1777,TOP,3015585559,36
1778,NONE,3015576782,36
1779,TOP,3015501346,13
1780,MID,3015995284,61
1781,BOTTOM,3015956228,222
1782,NONE,3015939916,222
1783,BOTTOM,3015932030,81
1784,MID,3015891783,61
1785,TOP,3014280365,68
1786,JUNGLE,3014255789,60
1787,JUNGLE,3013787561,141
1788,JUNGLE,3013770957,120
1789,BOTTOM,3013744862,497
1790,BOTTOM,3013331886,99
1791,BOTTOM,3013302867,25
1792,MID,3012564912,25
1793,BOTTOM,3012547789,25
1794,MID,3011008268,268
1795,MID,3015750513,39
1796,TOP,3015715355,516
1797,TOP,3015678609,126
1798,NONE,3015673282,266
1799,NONE,3015667299,85
1800,MID,3014165451,107
1801,JUNGLE,3014184113,107
1802,TOP,3014173219,107
1803,JUNGLE,3014172129,92
1804,NONE,3013423196,107
1805,BOTTOM,3015784725,236
1806,NONE,3015763558,107
1807,JUNGLE,3015683674,59
1808,NONE,3015667299,64
1809,JUNGLE,3015640440,107
1810,BOTTOM,3015970689,25
1811,MID,3015951595,25
